X,Graphic Profile 1
0,332.0304
28.79182171,334.1536
57.58364343,336.8576
86.37546514,338.7501
115.1672869,339.1402
143.9591086,338.8136
172.7509303,337.5547
201.542752,335.8898
230.3345737,333.7182
259.1263954,327.7704
287.9182171,316.8016
316.7100388,302.1211
345.5018606,284.5723
374.2936823,264.5895
403.085504,248.1852
431.8773257,240.9822
460.6691474,242.8743
489.4609691,248.4644
518.2527908,251.5324
547.0446125,251.8698
575.8364343,251.3235
604.628256,250.003
633.4200777,249.207
662.2118994,250.4171
691.0037211,253.3283
719.7955428,259.0776
748.5873645,266.7242
777.3791863,276.1809
806.171008,287.5151
834.9628297,297.7277
863.7546514,305.0699
892.5464731,309.0619
921.3382948,311.0015
950.1301165,312.219
978.9219382,312.1327
1007.71376,311.7632