Year,,Annual Average,mean_va_cfs
1990,"770,280",1183.2375,12260
1991,"820,840",1175.28,12310
1992,"856,350",1176.506667,12350
1993,"898,020",1189.0475,12890
1994,"971,680",1181.766667,12190
1995,"1,036,180",1182.973333,13910
1996,"1,119,708",1192.106667,16500
1997,"1,173,090",1203.7025,20010
1998,"1,233,733",1213.621667,19480
1999,"1,321,319",1210.5375,16720
2000,"1,428,690",1203.541667,14110
2001,"1,498,279",1185.091667,12530
2002,"1,584,944",1162.191667,12270
2003,"1,641,529",1145.339167,12370
2004,"1,747,025",1131.386667,12360
2005,"1,815,700",1140.1575,13000
2006,"1,912,654",1131.223333,12450
2007,"1,996,643",1117.185833,12710
2008,"1,986,146",1109.435833,13850
2009,"2,006,347",1099.061667,12840
2010,"2,036,358",1091.148333,13100
2011,"1,966,630",1108.0125,18600
2012,"2,008,654",1121.461667,14180
2013,"2,062,253",1110.533333,12700
2014,"2,102,238",1090.058333,11560
2015,"2,147,641",1080.4775,13620
2016,"2,205,207",1077.2275,13550
2017,"2,248,390",1083.198333,13860